日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
113/01/02,"27,997,826","16,549,619,798",590.00,593.00,589.00,593.00, 0.00,"20,667"
113/01/03,"40,134,497","23,267,025,945",584.00,585.00,576.00,578.00,-15.00,"56,916"
113/01/04,"18,063,758","10,466,284,102",580.00,581.00,577.00,580.00,+2.00,"15,010"
113/01/05,"22,008,878","12,685,460,114",578.00,580.00,574.00,576.00,-4.00,"28,660"
113/01/08,"19,270,119","11,232,942,053",582.00,585.00,579.00,583.00,+7.00,"19,950"
113/01/09,"23,718,766","13,909,252,422",588.00,589.00,583.00,586.00,+3.00,"23,975"
113/01/10,"13,708,117","8,006,229,126",581.00,586.00,580.00,584.00,-2.00,"16,104"
113/01/11,"27,842,729","16,323,168,586",586.00,589.00,583.00,586.00,+2.00,"20,754"
113/01/12,"17,636,558","10,304,253,419",581.00,588.00,581.00,584.00,-2.00,"15,765"
113/01/15,"21,900,687","12,873,769,022",590.00,590.00,585.00,586.00,+2.00,"21,886"
113/01/16,"28,889,681","16,817,280,777",581.00,588.00,579.00,580.00,-6.00,"21,938"
113/01/17,"46,857,735","27,229,863,028",583.00,584.00,578.00,581.00,+1.00,"28,790"
113/01/18,"36,746,623","21,575,062,923",586.00,589.00,585.00,588.00,+7.00,"28,621"
113/01/19,"176,166,037","109,423,769,320",625.00,627.00,614.00,626.00,+38.00,"207,364"
113/01/22,"70,829,523","44,436,449,501",633.00,633.00,623.00,626.00, 0.00,"56,376"
113/01/23,"45,761,889","28,681,559,251",629.00,629.00,622.00,628.00,+2.00,"34,729"
113/01/24,"29,905,121","18,779,693,566",628.00,630.00,624.00,627.00,-1.00,"27,062"
113/01/25,"59,214,638","37,803,501,446",635.00,642.00,633.00,642.00,+15.00,"85,006"
113/01/26,"44,103,850","28,392,638,215",644.00,646.00,639.00,644.00,+2.00,"41,691"
113/01/29,"29,828,008","19,268,444,564",646.00,648.00,644.00,648.00,+4.00,"32,347"
113/01/30,"40,398,877","26,028,211,247",642.00,647.00,642.00,642.00,-6.00,"35,002"
113/01/31,"47,554,701","29,978,630,024",634.00,637.00,626.00,628.00,-14.00,"61,811"
113/02/01,"46,924,943","29,237,425,981",625.00,628.00,619.00,628.00, 0.00,"51,671"
113/02/02,"27,797,894","17,563,853,315",633.00,635.00,628.00,635.00,+7.00,"22,257"
113/02/05,"48,037,344","30,931,242,935",645.00,647.00,638.00,646.00,+11.00,"51,065"
113/02/15,"132,263,803","92,592,826,951",709.00,709.00,693.00,697.00,+51.00,"130,374"
113/02/16,"48,963,167","33,742,716,965",697.00,699.00,683.00,683.00,-14.00,"56,882"
113/02/19,"36,366,837","24,665,534,552",674.00,682.00,674.00,678.00,-5.00,"35,240"
113/02/20,"31,403,730","21,494,427,969",675.00,688.00,675.00,687.00,+9.00,"32,847"
113/02/21,"31,980,543","21,748,906,940",678.00,683.00,678.00,681.00,-6.00,"36,004"
113/02/22,"34,269,392","23,664,176,835",695.00,695.00,685.00,692.00,+11.00,"36,998"
113/02/23,"48,404,478","33,847,447,281",701.00,703.00,696.00,697.00,+5.00,"48,018"
113/02/26,"29,976,379","20,917,136,411",700.00,700.00,695.00,698.00,+1.00,"25,850"
113/02/27,"35,389,548","24,647,159,479",700.00,701.00,691.00,698.00, 0.00,"31,145"
113/02/29,"59,337,072","40,973,093,720",691.00,698.00,688.00,690.00,-8.00,"39,066"
113/03/01,"24,167,721","16,699,995,060",697.00,697.00,688.00,689.00,-1.00,"26,282"
113/03/04,"97,210,112","69,868,348,694",714.00,725.00,711.00,725.00,+36.00,"125,799"
113/03/05,"73,299,411","53,751,887,376",735.00,738.00,728.00,730.00,+5.00,"69,851"
113/03/06,"52,464,833","38,203,868,985",718.00,738.00,717.00,735.00,+5.00,"49,897"
113/03/07,"80,382,406","61,221,034,146",755.00,769.00,754.00,760.00,+25.00,"96,348"
113/03/08,"98,069,174","77,295,575,097",795.00,796.00,772.00,784.00,+24.00,"110,758"
113/03/11,"73,436,931","56,348,050,108",768.00,778.00,761.00,766.00,-18.00,"107,368"
113/03/12,"63,336,798","48,288,411,581",757.00,771.00,754.00,770.00,+4.00,"56,154"
