date,keyword,title,link,publish_date
01/01/2018~01/31/2018,鴻海 財經,鴻海醫療事業負責人：未來要在一個箱子做到個人醫療,https://www.cw.com.tw/article/5087523,2018年1月10日
01/01/2018~01/31/2018,鴻海 財經,鴻海InFocus印度對手換人！小米躍居印度手機品牌霸主 | Anue鉅亨 - 台股新聞,https://m.cnyes.com/news/id/4027042?exp=a,2018年1月26日
01/01/2018~01/31/2018,鴻海 財經,理財世界再進階 演算法動態進化 翻轉投資思維,https://www.wealth.com.tw/articles/0d8e6732-5d61-4c20-9024-cbba8d09a758,2018年1月25日
01/01/2018~01/31/2018,鴻海 財經,看郭台銘如何因應快速變動的年代？,https://www.gvm.com.tw/article/42456,2018年1月22日
01/01/2018~01/31/2018,鴻海 財經,彭博：2018年黃金中值1290美元 有6大利多撐場,https://tw.stock.yahoo.com/news/%E8%AA%BF%E6%9F%A5-2018%E5%B9%B4%E9%BB%83%E9%87%91%E7%BA%8C%E9%87%91%E5%85%89%E9%96%83%E9%96%83-%E9%80%BE6%E6%88%90%E5%B0%88%E6%A5%AD%E5%8F%8A%E6%99%AE%E9%80%9A%E6%8A%95%E8%B3%87%E8%80%85%E7%9C%8B%E5%A5%BD%E5%AE%83-040100323.html,2018年1月1日
01/01/2018~01/31/2018,鴻海 財經,【鴻海臨股會】一年開兩次股東會　郭台銘對小股東說抱歉,https://www.mirrormedia.mg/story/20180131fin001,2018年1月31日
01/01/2018~01/31/2018,鴻海 財經,慣老闆汗顏！霸氣郭董留人才 提高出差津貼一年多發5.5億,https://fnc.ebc.net.tw/fncnews/headline/21962,2018年1月15日
01/01/2018~01/31/2018,鴻海 財經,鄭平、海英俊120分鐘關鍵對話,https://www.wealth.com.tw/articles/52464524-0372-4ed5-b530-4f2d852571d6,2018年1月15日
01/01/2018~01/31/2018,鴻海 財經,郭董私房伴手禮來了！不只總裁福貴糕　今年多了養生點心,https://www.mirrormedia.mg/story/20180119fin02,2018年1月19日
01/01/2018~01/31/2018,鴻海 財經,又一家外商保險撤台！蘇黎世人壽已0保單 解算清散台灣分公司,https://tw.stock.yahoo.com/news/%E5%8F%88-%E5%AE%B6%E5%A4%96%E5%95%86%E4%BF%9D%E9%9A%AA%E6%92%A4%E5%8F%B0-%E8%98%87%E9%BB%8E%E4%B8%96%E4%BA%BA%E5%A3%BD%E5%B7%B20%E4%BF%9D%E5%96%AE-%E8%A7%A3%E7%AE%97%E6%B8%85%E6%95%A3%E5%8F%B0%E7%81%A3%E5%88%86%E5%85%AC%E5%8F%B8-105705053.html,2018年1月11日
01/01/2018~01/31/2018,鴻海 財經,5大企業贊助培養人才 台灣AI轉機年,https://www.wealth.com.tw/articles/5a84255f-8a1b-4341-a36e-aa75d10b7ad3,2018年1月31日
01/01/2018~01/31/2018,鴻海 財經,松下營造預售屋 驚傳建商破產,https://tw.house.yahoo.com/news/%E6%9D%BE%E4%B8%8B%E7%87%9F%E9%80%A0%E9%A0%90%E5%94%AE%E5%B1%8B%E3%80%80%E9%A9%9A%E5%82%B3%E5%BB%BA%E5%95%86%E7%A0%B4%E7%94%A2-011820631.html,2018年1月9日
01/01/2018~01/31/2018,鴻海 財經,蔣萬安不玩 打亂吳敦義算盤,https://www.wealth.com.tw/articles/25298224-3382-4a56-98b5-efb289275a94,2018年1月28日
01/01/2018~01/31/2018,鴻海 財經,喜見杜奕瑾的AI實驗室在台南生根,https://www.wealth.com.tw/articles/1169141f-16d4-41a0-9fe9-9f538269f322,2018年1月19日
01/01/2018~01/31/2018,鴻海 財經,AI》 超強運算的夢幻電腦將問世,https://www.wealth.com.tw/articles/44700b16-655e-4867-80fe-6e573bc8a133,2018年1月21日
01/01/2018~01/31/2018,鴻海 財經,自駕車商機大 台廠尋求贏的策略,https://www.wealth.com.tw/articles/7ed902dd-9add-4778-bf49-b8b4dcc5f3ae,2018年1月7日
01/01/2018~01/31/2018,鴻海 財經,AI理財 神操盤時代,https://www.wealth.com.tw/articles/9a45a16c-ea92-4c76-8e1b-ca2f7837f6d9,2018年1月23日
01/01/2018~01/31/2018,鴻海 財經,台中市林佳龍 不犯錯，就有機會連莊,https://www.wealth.com.tw/articles/c5b610a3-4772-41a3-a763-fd096e0e38ba,2018年1月2日
01/01/2018~01/31/2018,鴻海 財經,寶佳少東林家宏 遊走險惡金融遊戲,https://www.wealth.com.tw/articles/e5e8dcd9-22f5-4261-9ba2-7b4a6d25d5f8,2018年1月11日
01/01/2018~01/31/2018,鴻海 財經,瑞士私人銀行 好日子回不去了,https://www.wealth.com.tw/articles/d8a0ea14-eea2-47c3-88b0-526e39a7d7c6,2018年1月5日
01/01/2018~01/31/2018,鴻海 財經,賽博集團董座張瑞麟玩轉O2O 大啖旅遊商機- 財經要聞- 工商時報,https://www.chinatimes.com/newspapers/20180121000233-260202,2018年1月21日
02/01/2018~03/03/2018,鴻海 財經,全球投資大師解讀股災後的籌碼布局,https://www.wealth.com.tw/articles/2a253d8b-6a0c-48e6-9931-39dfef5f55b9,2018年2月20日
02/01/2018~03/03/2018,鴻海 財經,美國人最痛恨10家企業，富士康上榜,https://www.cheers.com.tw/article/article.action?id=5088055,2018年2月2日
02/01/2018~03/03/2018,鴻海 財經,《其他電子》鴻海校園徵才開跑，今年名額無上限,https://www.chinatimes.com/realtimenews/20180303001914-260511,2018年3月3日
02/01/2018~03/03/2018,鴻海 財經,【鴻海拚AI】搶AI製造商機　郭台銘喊5年加碼台灣百億,https://www.mirrormedia.mg/story/20180202fin001,2018年2月2日
02/01/2018~03/03/2018,鴻海 財經,防空汙 高雄推APP提醒工地灑水,https://tw.stock.yahoo.com/news/%E9%98%B2%E7%A9%BA%E6%B1%99-%E9%AB%98%E9%9B%84%E6%8E%A8app%E6%8F%90%E9%86%92%E5%B7%A5%E5%9C%B0%E7%81%91%E6%B0%B4-022513159.html,2018年2月21日
02/01/2018~03/03/2018,鴻海 財經,被動化主動 國發基金將發掘新創案,https://ec.ltn.com.tw/article/paper/1173969,2018年2月2日
02/01/2018~03/03/2018,鴻海 財經,明星基金經理人羅賓森 押加密貨幣,https://www.wealth.com.tw/articles/1d823590-aa1b-4621-b989-a92fb835bd3d,2018年2月19日
02/01/2018~03/03/2018,鴻海 財經,曾和郭台銘一起創業　如今波音飛機少不了他,https://www.mirrormedia.mg/story/20180208bus012,2018年2月22日
