start_date,stock_id,Feature1,Feature2,Feature3
2010-10-22,2317,0.38181874,-0.056685925,0.42737275
2010-10-25,2317,0.39404377,-0.046968415,0.41451138
2010-10-26,2317,0.383706,-0.059471264,0.4063707
2010-10-27,2317,0.37820128,-0.065524615,0.39942163
2010-10-28,2317,0.38362357,-0.067833535,0.39637738
2010-10-29,2317,0.3930644,-0.06656748,0.39245933
2010-11-01,2317,0.3958741,-0.054938555,0.3787533
2010-11-02,2317,0.39758155,-0.04105699,0.36908543
2010-11-03,2317,0.40538296,-0.0364248,0.35429597
2010-11-04,2317,0.4208766,-0.016370855,0.34521294
2010-11-05,2317,0.42184815,-0.022763543,0.33549407
2010-11-08,2317,0.42492917,-0.040213116,0.32591587
2010-11-09,2317,0.4285111,-0.055976614,0.32072237
2010-11-10,2317,0.4298661,-0.0548741,0.31554347
2010-11-11,2317,0.4216232,-0.06020107,0.31150204
2010-11-12,2317,0.41957793,-0.06437074,0.30520648
2010-11-15,2317,0.42990336,-0.046185784,0.29710215
2010-11-16,2317,0.44264522,-0.015954368,0.28859293
2010-11-17,2317,0.4418627,0.00840392,0.27205288
2010-11-18,2317,0.43989468,0.018758334,0.26533955
2010-11-19,2317,0.4322079,0.021928899,0.26158512
2010-11-22,2317,0.4138278,-0.0053610727,0.26298028
2010-11-23,2317,0.4003023,-0.048361115,0.26608557
2010-11-24,2317,0.39039308,-0.0879442,0.26583165
2010-11-25,2317,0.38814142,-0.121115245,0.27340126
2010-11-26,2317,0.3852816,-0.14547169,0.2808622
2010-11-29,2317,0.39837018,-0.1493411,0.3000724
2010-11-30,2317,0.412881,-0.13086697,0.3134966
2010-12-01,2317,0.43512952,-0.11556896,0.32048655
2010-12-02,2317,0.44399112,-0.11382716,0.3244303
2010-12-03,2317,0.46173367,-0.10104979,0.32950926
2010-12-06,2317,0.46331534,-0.10085751,0.33339024
2010-12-07,2317,0.46078897,-0.0961297,0.33637303
2010-12-08,2317,0.46368808,-0.093007505,0.34033734
2010-12-09,2317,0.47304252,-0.08421867,0.34757882
2010-12-10,2317,0.47874537,-0.09273009,0.3470164
2010-12-13,2317,0.48520508,-0.094892666,0.3553468
2010-12-14,2317,0.49528947,-0.08741294,0.36193436
2010-12-15,2317,0.4968445,-0.092872635,0.3720206
2010-12-16,2317,0.50101626,-0.07914917,0.37029666
2010-12-17,2317,0.5012319,-0.072350696,0.36668855
2010-12-20,2317,0.5106919,-0.062228657,0.36656052
2010-12-21,2317,0.519296,-0.047984965,0.36155295
2010-12-22,2317,0.52317286,-0.04177495,0.35749948
2010-12-23,2317,0.52526844,-0.019064717,0.35133713
2010-12-24,2317,0.5144393,-0.013402455,0.3376628
2010-12-27,2317,0.50798666,-0.00014319271,0.32913977
2010-12-28,2317,0.50043076,0.011487566,0.3193097
2010-12-29,2317,0.48904827,-0.0048512444,0.30586106
2010-12-30,2317,0.49084225,-0.006285958,0.307177
2010-12-31,2317,0.48296037,-0.025524668,0.31011868
2011-01-03,2317,0.47594377,-0.045101203,0.3162849
2011-01-04,2317,0.46769628,-0.052089803,0.32476223
2011-01-05,2317,0.45906907,-0.05542063,0.32875288
2011-01-06,2317,0.46330473,-0.054066017,0.33988163
2011-01-07,2317,0.470983,-0.05105553,0.3423754
2011-01-10,2317,0.47783354,-0.035942264,0.3466832
2011-01-11,2317,0.4853113,-0.022702686,0.3489055
2011-01-12,2317,0.4800438,-0.028503574,0.35216206
2011-01-13,2317,0.48227736,-0.051521935,0.35142553
2011-01-14,2317,0.48588488,-0.0856825,0.36068606
2011-01-17,2317,0.4853994,-0.13413632,0.36434633
2011-01-18,2317,0.49484113,-0.15879047,0.37545562
2011-01-19,2317,0.5115299,-0.13744596,0.3844067
2011-01-20,2317,0.5198981,-0.101966314,0.38811135
2011-01-21,2317,0.5335461,-0.0483054,0.385597
