start_date,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,2317_trend,2317_trend_label
2010-12-02,0.119608305,0.18637216,0.11822875,-0.17504418,0.15228648,-0.15643863,0.061599642,-0.05873226,0.07715141,0.07372545,0.024191024,-0.12693058,-0.1649303,0.0050933533,-0.14581136,-0.0110830795,0.11134134,-0.13939065,0.11685659,0.013461387,-0.068892844,-0.07996966,0.11237212,-0.10285372,0.10297407,-0.16347012,-0.11756593,0.09642712,0.08969709,-0.04528952,0.06877139,-0.16367887,-0.11116021,0.1542619,0.17621665,-0.004436201,-0.1425787,-0.13502863,-0.0026966678,0.061314832,-0.094111666,7.5619835e-05,-0.015030718,0.091467224,-0.011456559,0.07300727,-0.10691904,-0.21250436,0.11471669,-0.048620902,0.009247027,0.113230444,-0.1894061,0.08044411,0.097093284,-0.09683945,-0.12502119,-0.1860506,0.13473475,0.13686822,-0.083699316,-0.08939575,0.0949144,0.10443218,-0.01427760685939906,溫和下跌
2010-12-03,0.113456726,0.18025838,0.11584342,-0.16243593,0.14670688,-0.1512516,0.060391467,-0.056387775,0.07485633,0.069916055,0.0234618,-0.12242864,-0.15685287,0.004411709,-0.13829876,-0.008631517,0.1068224,-0.13631627,0.11339072,0.011397638,-0.06556585,-0.07380667,0.107739255,-0.09644664,0.09798752,-0.15819189,-0.110015094,0.08897875,0.08359206,-0.041646726,0.063731164,-0.157816,-0.10530714,0.14989123,0.1693418,-0.0049978816,-0.13652658,-0.1272945,-0.0006785324,0.060601886,-0.087236665,0.00035765267,-0.01635144,0.0870483,-0.011091973,0.07339232,-0.10229703,-0.20619337,0.10940835,-0.042025276,0.009784528,0.10791896,-0.18298274,0.07646881,0.09158283,-0.091008596,-0.12085246,-0.18199989,0.12710103,0.12754886,-0.078209125,-0.07858532,0.089599006,0.09968639,-0.014356080109797324,溫和下跌
2010-12-06,0.122752726,0.19217639,0.12114623,-0.19309528,0.15553477,-0.16417217,0.063528046,-0.06180751,0.07878408,0.07455063,0.023939297,-0.12816899,-0.17080352,0.005330672,-0.1563489,-0.014497953,0.11744889,-0.14900853,0.11978244,0.017242908,-0.07459166,-0.08739835,0.11606744,-0.109314114,0.1077073,-0.1683865,-0.12233717,0.10965919,0.09261402,-0.04907181,0.072925165,-0.16877043,-0.11779172,0.15929292,0.18022244,-0.0039114947,-0.14666213,-0.13900134,-0.0035790715,0.06442788,-0.099970974,-0.00016525885,-0.014151914,0.094970025,-0.011366134,0.073728986,-0.11246354,-0.21959923,0.12209265,-0.05113305,0.00950858,0.11616452,-0.20915185,0.08643726,0.10220305,-0.101011835,-0.12945731,-0.19129077,0.14393984,0.14879687,-0.090026006,-0.10449574,0.10017736,0.10643649,-0.013129205587168496,溫和下跌
2010-12-07,0.11822471,0.19239797,0.122070454,-0.19363959,0.15377694,-0.16628993,0.06315156,-0.060509123,0.078837976,0.07159165,0.022717439,-0.12384464,-0.16980352,0.0049704392,-0.15666032,-0.013166525,0.11778074,-0.15406182,0.11893651,0.017159969,-0.073973246,-0.08616168,0.11500175,-0.10836556,0.1078867,-0.16717912,-0.11976274,0.11015955,0.08799074,-0.046530668,0.06980434,-0.16797268,-0.116769746,0.1623027,0.17915523,-0.0035032781,-0.14473289,-0.13470092,-0.0021350794,0.06499717,-0.09796851,2.1681772e-05,-0.0151125835,0.093433596,-0.01095529,0.07605558,-0.11162931,-0.21929756,0.12203461,-0.046104394,0.011988572,0.114326,-0.21815369,0.08551164,0.10038586,-0.09808434,-0.1293153,-0.19259147,0.14358,0.14804167,-0.08848899,-0.10320857,0.099036805,0.10367695,-0.012219087809586662,溫和下跌
2010-12-08,0.1179965,0.19604127,0.12398322,-0.19893833,0.15542929,-0.16971375,0.06272873,-0.060356814,0.08017041,0.071476,0.02237892,-0.12332581,-0.17322397,0.0051646605,-0.16027856,-0.013169265,0.119286,-0.15783048,0.12023572,0.017981455,-0.07451293,-0.088698134,0.11687937,-0.111394405,0.11148041,-0.16858178,-0.122722015,0.11314761,0.08759475,-0.045977417,0.07085791,-0.17058174,-0.1181991,0.16598438,0.18159801,-0.002863489,-0.14565529,-0.13606384,-0.0023753592,0.06503888,-0.10026638,7.061718e-05,-0.01516142,0.09484301,-0.010931697,0.07754634,-0.1133358,-0.22279353,0.12423318,-0.046349615,0.013161411,0.11599246,-0.22501238,0.08536136,0.10145836,-0.09949291,-0.13126944,-0.19569333,0.14722292,0.15173955,-0.09003822,-0.10686125,0.10095841,0.10435413,-0.011683351438928314,溫和下跌
2010-12-09,0.11582573,0.19612552,0.124095276,-0.19629265,0.15498637,-0.16955878,0.06179145,-0.058938798,0.080194294,0.07031468,0.022090213,-0.1215328,-0.1728955,0.0051388405,-0.15910545,-0.011822098,0.11801858,-0.15780808,0.119687825,0.016917568,-0.07260099,-0.08763261,0.116391584,-0.11080765,0.11221807,-0.16703288,-0.12239115,0.111240014,0.08523145,-0.043946754,0.069537915,-0.1700917,-0.11649722,0.1669166,0.18099199,-0.0026351258,-0.14405452,-0.13440232,-0.0019948734,0.06416779,-0.09928677,0.00018495726,-0.015594162,0.094116144,-0.010887032,0.07869738,-0.11234824,-0.22236381,0.12293405,-0.04476765,0.014373845,0.11571492,-0.22412147,0.08262977,0.099784605,-0.09815395,-0.13081056,-0.19568901,0.14619829,0.1496969,-0.088631906,-0.103752874,0.1001362,0.1034883,-0.01169850282349956,溫和下跌
2010-12-10,0.1173525,0.19919361,0.12529866,-0.20227481,0.15755872,-0.17274442,0.062173866,-0.05933629,0.081212126,0.07125742,0.02235165,-0.122392215,-0.17672923,0.0053737597,-0.1629243,-0.012442694,0.12023034,-0.16000319,0.12107993,0.01741631,-0.07342552,-0.090347104,0.118340544,-0.11342578,0.115173414,-0.16865848,-0.12551585,0.11496682,0.08662684,-0.044740256,0.071062945,-0.1726884,-0.11863155,0.16998202,0.18386671,-0.0022791752,-0.14604963,-0.13669422,-0.002537038,0.06435356,-0.102392755,4.5109315e-05,-0.015246172,0.09577448,-0.011037616,0.07945855,-0.11431156,-0.22533776,0.12497205,-0.046954084,0.015017854,0.11801938,-0.22887345,0.083310224,0.10161106,-0.0999684,-0.13278154,-0.19768181,0.14986283,0.15399998,-0.09071506,-0.10826296,0.1025895,0.105159394,-0.011483770442125358,溫和下跌
2010-12-13,0.11627322,0.1992408,0.12522815,-0.20134269,0.15764384,-0.17300236,0.062002268,-0.058588985,0.081183665,0.07067361,0.022295706,-0.12138419,-0.17679755,0.005350679,-0.16256124,-0.011742403,0.120134175,-0.16020934,0.12066432,0.016684359,-0.072393216,-0.089661285,0.11806397,-0.11288248,0.11551963,-0.16784488,-0.12506743,0.1142897,0.085287005,-0.0437708,0.06990802,-0.17238764,-0.1179355,0.1710773,0.18381253,-0.0021586553,-0.14550199,-0.13561448,-0.002237603,0.06401011,-0.10211088,5.98541e-05,-0.015492023,0.09520804,-0.01103754,0.08021863,-0.113853,-0.22484286,0.12421342,-0.04615206,0.015988557,0.11796339,-0.22930714,0.08207587,0.10076151,-0.09899533,-0.13263662,-0.19753993,0.14950456,0.15331627,-0.08991569,-0.10691638,0.10231152,0.10486839,-0.011429403849009413,溫和下跌
2010-12-14,0.11400308,0.19664936,0.12388892,-0.19268917,0.15601605,-0.16976014,0.06111615,-0.05700298,0.08021195,0.069770515,0.02242454,-0.12008111,-0.17380126,0.005211955,-0.15815945,-0.010156796,0.11747935,-0.15648903,0.119176306,0.015063112,-0.069792844,-0.086436845,0.11628331,-0.10964742,0.113669775,-0.16516581,-0.12238528,0.108696066,0.08306669,-0.04162676,0.067540884,-0.16982117,-0.11456044,0.16909604,0.18123989,-0.0023097394,-0.14290074,-0.13277358,-0.0016356946,0.06268422,-0.0993981,0.00013813045,-0.016037568,0.09327353,-0.011059644,0.0803832,-0.11128125,-0.22153133,0.12062041,-0.044370938,0.016141072,0.11616351,-0.22140364,0.07889689,0.098055676,-0.09670876,-0.130599,-0.19516666,0.14544795,0.14802508,-0.086846344,-0.10000765,0.09989843,0.10353474,-0.01169521885688848,溫和下跌
2010-12-15,0.12164306,0.20560573,0.12766707,-0.21600918,0.1634397,-0.17994241,0.06380404,-0.060836244,0.08316612,0.073986,0.023114394,-0.124819316,-0.18510588,0.0057810014,-0.17164198,-0.014355412,0.12652601,-0.16471784,0.12418641,0.018879356,-0.07635628,-0.09618474,0.12289228,-0.11853077,0.12057232,-0.17317156,-0.13153072,0.12332212,0.090600215,-0.047272388,0.073785886,-0.17819765,-0.124035135,0.17666465,0.19030303,-0.0015499863,-0.15152764,-0.14162035,-0.0035367922,0.06536777,-0.109700516,-0.00036963506,-0.01451034,0.09910145,-0.011279167,0.08065287,-0.11881122,-0.23087512,0.12966919,-0.051903076,0.016058434,0.1226701,-0.24075179,0.08660262,0.10652137,-0.10402567,-0.13702418,-0.20191577,0.1579944,0.16442414,-0.09539552,-0.11917616,0.10810351,0.10896824,-0.010711302880800593,溫和下跌
