start_date,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,2317_trend,2330_trend,2454_trend,2317_trend_label,2330_trend_label,2454_trend_label,trend_description
2010-12-01,0.046828113,0.037947144,0.13363741,0.08875238,-0.06719434,-0.14684689,-0.13625117,0.016683832,0.04520486,-0.03569518,-0.14242524,-0.4140784,-0.047601856,-0.01330162,-0.25137582,-0.077128954,-0.015331413,0.38438052,0.08949026,-0.026578283,0.001488244,0.0860301,0.11166774,0.010186911,-0.09568801,-0.03071284,-0.12761588,-0.121624045,0.111519895,0.008664667,0.04006724,-0.08433949,0.01231133,-0.00860472,0.0811791,-0.16845019,0.03781976,-0.06105557,-0.024119519,0.0700949,0.036340673,0.044094503,0.11723116,0.05894729,0.22533977,0.09517796,0.09387803,0.11448351,-0.029000526,-0.058903012,0.06043625,-0.054165863,-0.018701231,-0.03175845,-0.055917036,0.16197352,-0.028153531,-0.023941169,0.01191793,-0.090692334,-0.056097135,-0.020997748,0.063128114,0.055445965,0.05133470225872682,0.9444444444444458,0.1629072681704261,強勢上漲,強勢上漲,強勢上漲,鴻海(強勢上漲)、台積電(強勢上漲)、聯發科(強勢上漲)
2010-12-02,0.039739415,0.03941057,0.14077692,0.09086474,-0.06290398,-0.14435618,-0.1693452,0.016608736,0.045378182,-0.026515398,-0.15566309,-0.43436125,-0.04456062,-0.02888709,-0.25951913,-0.07701862,-0.05796949,0.38608822,0.08739863,-0.04304165,0.009475598,0.07669996,0.12457257,0.015368355,-0.09790704,-0.019624993,-0.14259982,-0.12009453,0.10396048,0.021254666,0.042666454,-0.09066869,0.008961157,-0.010535748,0.069723085,-0.16841614,0.03785267,-0.05540122,-0.02519581,0.07297372,0.038386587,0.049895845,0.11277199,0.061003745,0.22717537,0.09410673,0.10044487,0.12567624,-0.04185239,-0.06167621,0.060034435,-0.051391464,-0.020256266,-0.031818874,-0.048528217,0.16465689,-0.029393801,-0.028627437,0.012985289,-0.09674055,-0.06511254,-0.011358382,0.060252067,0.050081164,0.09533898305084743,0.7307692307692292,0.15270935960591128,強勢上漲,強勢上漲,強勢上漲,鴻海(強勢上漲)、台積電(強勢上漲)、聯發科(強勢上漲)
2010-12-03,0.036157455,0.03831402,0.13736951,0.05304094,-0.021229936,-0.1443812,-0.28822353,0.036560237,0.026997568,-0.039338686,-0.14434664,-0.45287734,-0.03698217,-0.07122686,-0.2852835,-0.104688235,-0.10591905,0.3944805,0.07730955,-0.023287263,0.035466474,0.07547588,0.16293715,0.026979456,-0.031680346,-0.0065742563,-0.19158983,-0.11314936,0.08983616,-0.010843189,0.0436538,-0.10671048,0.0044507007,-0.04411735,0.06113744,-0.13988443,0.040729873,-0.05398713,-0.034418978,0.100208305,0.022856534,0.0675707,0.09032649,0.05538563,0.24885748,0.069612816,0.09487651,0.14639275,-0.15560174,-0.05980332,0.062934846,-0.049896915,-0.020611843,-0.045791663,-0.029011277,0.16564743,-0.042843234,0.0040083295,0.020257628,-0.11672943,-0.059210643,0.013899168,0.04435707,0.021523431,0.01972386587771183,0.191780821917808,-0.01952277657266804,橫盤整理,強勢上漲,橫盤整理,鴻海(橫盤整理)、台積電(強勢上漲)、聯發科(橫盤整理)
2010-12-06,0.035931546,0.026784874,0.14665817,0.0671202,-0.0325524,-0.14790314,-0.24516119,0.024799628,0.03560535,-0.037786487,-0.16044311,-0.43354696,-0.035228413,-0.06259736,-0.29074433,-0.111395165,-0.086773075,0.39353907,0.074920766,-0.013221588,0.02158164,0.09512037,0.14512745,0.019000826,-0.07443128,-0.0102440715,-0.15735832,-0.11773019,0.10834202,-0.011044777,0.04342224,-0.11185685,0.008007706,0.008843588,0.06629744,-0.1401702,0.0409018,-0.0607347,-0.026829273,0.09455897,0.019542875,0.056187127,0.077008344,0.06306478,0.26931247,0.061842803,0.09594343,0.14956994,-0.12479786,-0.0543635,0.058678254,-0.047149148,-0.01949307,-0.04801659,-0.04791321,0.17843777,-0.040708847,-0.0051833517,0.020832773,-0.1061602,-0.0489856,0.002434507,0.048392992,0.016870933,-0.009765624999999903,0.12000000000000213,0.019438444924405975,橫盤整理,強勢上漲,橫盤整理,鴻海(橫盤整理)、台積電(強勢上漲)、聯發科(橫盤整理)
2010-12-07,0.03884709,0.024626415,0.15200636,0.08588437,-0.039569154,-0.12908411,-0.21823882,0.0071003507,0.04348489,-0.023364227,-0.18897118,-0.4233706,-0.03302597,-0.05750216,-0.2913432,-0.07901911,-0.03473138,0.4005049,0.067224964,-0.0203872,0.021045253,0.08172455,0.13797396,0.012460297,-0.08615311,-0.009579835,-0.13957042,-0.12427445,0.10265555,-0.011716716,0.03553099,-0.098929174,0.02677036,0.037053194,0.07605747,-0.14524488,0.03393044,-0.058999334,-0.023008453,0.07900709,0.0110045625,0.05302318,0.06558374,0.071635194,0.27143764,0.0627904,0.10302023,0.14058647,-0.107876204,-0.061236825,0.0521406,-0.04053358,-0.034724854,-0.042723387,-0.06346322,0.19332711,-0.031559415,0.0007344891,0.022757592,-0.09942394,-0.048124917,-0.0014402472,0.056293245,0.018030288,0.029013539651837655,0.14285714285714243,0.050549450549450495,溫和上漲,強勢上漲,強勢上漲,鴻海(溫和上漲)、台積電(強勢上漲)、聯發科(強勢上漲)
2010-12-08,0.035164718,0.029186679,0.15268351,0.07860807,-0.037836082,-0.11106,-0.23227736,0.00794623,0.04699881,-0.020155665,-0.18896951,-0.40289834,-0.03482254,-0.056311294,-0.2868287,-0.06902008,-0.0279511,0.4052667,0.06265882,-0.014695557,0.030432232,0.07741884,0.13806096,0.01631759,-0.086668834,-0.011246925,-0.15497304,-0.124580994,0.10744557,-0.0040567666,0.03384087,-0.10785934,0.021031728,0.0016035862,0.07937787,-0.13958153,0.03290602,-0.05510194,-0.025563262,0.07332938,0.01076641,0.05718906,0.06476544,0.06457479,0.26380548,0.06506622,0.10133832,0.13406381,-0.12393653,-0.06002636,0.06212401,-0.039760392,-0.038592968,-0.04827478,-0.06551191,0.20246662,-0.02745787,-0.003082989,0.020069642,-0.09674805,-0.053834938,0.0017698607,0.06329476,0.020943878,0.03906250000000003,0.28571428571428487,0.01293103448275849,溫和上漲,強勢上漲,橫盤整理,鴻海(溫和上漲)、台積電(強勢上漲)、聯發科(橫盤整理)
2010-12-09,0.03653205,0.026522454,0.15407485,0.1007947,-0.040893946,-0.11245395,-0.20719804,0.0028665767,0.04914916,-0.016486606,-0.21664268,-0.42215526,-0.03362423,-0.07254089,-0.28868943,-0.052338865,-0.044630036,0.40196955,0.061905127,-0.040874537,0.029465985,0.08309842,0.13367097,0.012660117,-0.10528718,-0.0030538805,-0.15137406,-0.12137197,0.10616385,-0.006318913,0.034976114,-0.10829372,0.03142764,0.07613078,0.07391365,-0.14736792,0.027951993,-0.05608825,-0.021742275,0.06943777,-0.00013919747,0.06297898,0.06459511,0.07193263,0.26048428,0.06477073,0.108686626,0.14625904,-0.09699667,-0.057275794,0.055640228,-0.015821703,-0.04216294,-0.03583147,-0.069239214,0.19967118,-0.022731893,0.0027918771,0.019156551,-0.101759695,-0.058406364,-0.0016284602,0.059808377,0.02205633,0.04835589941972914,0.13333333333333372,-0.019230769230769405,溫和上漲,強勢上漲,橫盤整理,鴻海(溫和上漲)、台積電(強勢上漲)、聯發科(橫盤整理)
2010-12-10,0.030257624,0.027787663,0.1537219,0.074478574,-0.050754458,-0.11797865,-0.16118094,0.0071070287,0.054481138,-0.020018877,-0.20707116,-0.3786558,-0.03555256,-0.050548106,-0.2827183,-0.05073548,-0.012134596,0.4096351,0.072668314,-0.0264297,0.01921285,0.077121474,0.12471359,0.018089117,-0.103640765,0.0033209508,-0.13872911,-0.1396809,0.110866375,-0.0061878776,0.029678231,-0.10431051,0.017201457,0.03956987,0.075811714,-0.14569755,0.03845686,-0.0582336,-0.02263494,0.06124543,0.020242205,0.057281367,0.073066495,0.06424853,0.27837655,0.0727394,0.09826107,0.14742637,-0.09187473,-0.06127053,0.064280406,-0.022182997,-0.03907986,-0.03391823,-0.07677089,0.2030979,-0.018522758,-0.00036476535,0.015956033,-0.091141164,-0.05368759,0.0010096387,0.06770045,0.025354078,0.029013539651837655,0.367816091954024,0.061946902654867304,溫和上漲,強勢上漲,強勢上漲,鴻海(溫和上漲)、台積電(強勢上漲)、聯發科(強勢上漲)
2010-12-13,0.03175468,0.031800754,0.15000975,0.102100134,-0.05169298,-0.10110292,-0.18686308,0.0013886504,0.053510115,-0.017821694,-0.21043293,-0.3911664,-0.038290914,-0.053758126,-0.27690783,-0.038477097,-0.013299522,0.4132957,0.06674237,-0.031363815,0.025582422,0.08679994,0.12307116,0.016868323,-0.12475194,-0.006277098,-0.13450697,-0.12951355,0.11722386,0.0015266445,0.030402295,-0.10846654,0.019806774,0.03958792,0.07409056,-0.14950003,0.031510744,-0.054468643,-0.022914758,0.059348732,0.01016081,0.057707172,0.06877728,0.06330404,0.25907496,0.07853347,0.101968125,0.12989289,-0.089050345,-0.060377836,0.06077741,-0.017924346,-0.03838673,-0.03566059,-0.07672436,0.20419352,-0.017699532,-0.014374016,0.011691306,-0.08858684,-0.059402507,-0.0045997207,0.070444345,0.031049816,0.03944773175542409,0.21428571428571266,0.008474576271186519,溫和上漲,強勢上漲,橫盤整理,鴻海(溫和上漲)、台積電(強勢上漲)、聯發科(橫盤整理)
2010-12-14,0.03331614,0.030582415,0.1442845,0.07892996,-0.041553274,-0.10921004,-0.1876207,0.00956844,0.04988886,-0.030522458,-0.19717702,-0.38121957,-0.03846019,-0.055475667,-0.28293383,-0.04679357,-0.009364461,0.41149274,0.07206933,-0.015514034,0.019565675,0.09534892,0.12691298,0.015929721,-0.0904664,-0.002573151,-0.15265492,-0.1322985,0.116987795,-0.040146433,0.02727947,-0.1119822,0.017314665,0.015587307,0.077124335,-0.13602854,0.029827492,-0.058064107,-0.02703449,0.060402095,0.012118243,0.059856348,0.068451956,0.057661097,0.27798313,0.07194239,0.09609416,0.13353553,-0.10946624,-0.0580757,0.064573005,-0.015398798,-0.040540352,-0.033927824,-0.07348015,0.20189668,-0.01988517,0.010428424,0.012702566,-0.08757161,-0.053467404,0.00072365924,0.06694651,0.02457055,0.00939849624060141,0.2874999999999991,0.012552301255229999,橫盤整理,強勢上漲,橫盤整理,鴻海(橫盤整理)、台積電(強勢上漲)、聯發科(橫盤整理)
